timestamp,elapsed_s,x_g,y_g,z_g,dx,dy,dz,l2_norm
2026-04-08T16:29:17.715,216.095,-0.998,0.001,0.123,-0.0010,0.0090,-0.0040,0.000098
2026-04-08T16:29:17.769,216.148,-1.001,-0.006,0.126,-0.0030,-0.0070,0.0030,0.000067
2026-04-08T16:29:17.822,216.201,-0.997,-0.009,0.120,0.0040,-0.0030,-0.0060,0.000061
2026-04-08T16:29:17.879,216.259,-0.993,-0.006,0.125,0.0040,0.0030,0.0050,0.000050
2026-04-08T16:29:17.933,216.312,-0.993,-0.001,0.125,0.0000,0.0050,0.0000,0.000025
2026-04-08T16:29:17.986,216.365,-0.993,-0.005,0.124,0.0000,-0.0040,-0.0010,0.000017
2026-04-08T16:29:18.039,216.419,-0.998,-0.013,0.126,-0.0050,-0.0080,0.0020,0.000093
2026-04-08T16:29:18.092,216.472,-0.991,-0.005,0.124,0.0070,0.0080,-0.0020,0.000117
2026-04-08T16:29:18.146,216.525,-0.995,-0.002,0.126,-0.0040,0.0030,0.0020,0.000029
2026-04-08T16:29:18.199,216.578,-0.999,0.002,0.122,-0.0040,0.0040,-0.0040,0.000048
2026-04-08T16:29:18.252,216.632,-0.993,-0.012,0.128,0.0060,-0.0140,0.0060,0.000268
2026-04-08T16:29:18.305,216.685,-0.997,-0.005,0.123,-0.0040,0.0070,-0.0050,0.000090
2026-04-08T16:29:18.358,216.738,-0.998,-0.006,0.123,-0.0010,-0.0010,0.0000,0.000002
2026-04-08T16:29:18.412,216.791,-0.992,-0.001,0.121,0.0060,0.0050,-0.0020,0.000065
2026-04-08T16:29:18.465,216.845,-0.996,-0.011,0.120,-0.0040,-0.0100,-0.0010,0.000117
2026-04-08T16:29:18.518,216.898,-0.994,-0.003,0.120,0.0020,0.0080,0.0000,0.000068
2026-04-08T16:29:18.572,216.951,-0.996,-0.002,0.125,-0.0020,0.0010,0.0050,0.000030
2026-04-08T16:29:18.629,217.008,-0.992,-0.004,0.118,0.0040,-0.0020,-0.0070,0.000069
2026-04-08T16:29:18.682,217.062,-0.996,-0.009,0.121,-0.0040,-0.0050,0.0030,0.000050
2026-04-08T16:29:18.735,217.115,-0.998,-0.011,0.124,-0.0020,-0.0020,0.0030,0.000017
2026-04-08T16:29:18.789,217.168,-0.996,-0.003,0.125,0.0020,0.0080,0.0010,0.000069
2026-04-08T16:29:18.842,217.221,-0.993,-0.005,0.122,0.0030,-0.0020,-0.0030,0.000022
2026-04-08T16:29:18.895,217.275,-0.993,-0.010,0.123,0.0000,-0.0050,0.0010,0.000026
2026-04-08T16:29:18.948,217.328,-0.993,-0.008,0.118,0.0000,0.0020,-0.0050,0.000029
2026-04-08T16:29:19.002,217.381,-0.995,-0.006,0.119,-0.0020,0.0020,0.0010,0.000009
2026-04-08T16:29:19.055,217.434,-0.997,-0.009,0.126,-0.0020,-0.0030,0.0070,0.000062
2026-04-08T16:29:19.108,217.488,-0.997,-0.004,0.125,0.0000,0.0050,-0.0010,0.000026
2026-04-08T16:29:19.161,217.541,-0.999,-0.005,0.120,-0.0020,-0.0010,-0.0050,0.000030
2026-04-08T16:29:19.215,217.594,-0.998,-0.005,0.126,0.0010,0.0000,0.0060,0.000037
2026-04-08T16:29:19.268,217.647,-0.994,-0.005,0.124,0.0040,0.0000,-0.0020,0.000020
2026-04-08T16:29:19.321,217.701,-0.996,-0.007,0.127,-0.0020,-0.0020,0.0030,0.000017
2026-04-08T16:29:19.374,217.754,-0.996,-0.006,0.120,0.0000,0.0010,-0.0070,0.000050
2026-04-08T16:29:19.432,217.811,-0.992,-0.003,0.125,0.0040,0.0030,0.0050,0.000050
2026-04-08T16:29:19.485,217.864,-1.003,-0.008,0.119,-0.0110,-0.0050,-0.0060,0.000182
2026-04-08T16:29:19.538,217.918,-1.002,-0.012,0.119,0.0010,-0.0040,0.0000,0.000017
2026-04-08T16:29:19.591,217.971,-0.994,-0.001,0.129,0.0080,0.0110,0.0100,0.000285
2026-04-08T16:29:19.645,218.024,-0.988,-0.009,0.124,0.0060,-0.0080,-0.0050,0.000125
2026-04-08T16:29:19.698,218.077,-0.994,-0.005,0.121,-0.0060,0.0040,-0.0030,0.000061
2026-04-08T16:29:19.751,218.131,-0.994,-0.005,0.128,0.0000,0.0000,0.0070,0.000049
2026-04-08T16:29:19.804,218.184,-0.996,-0.004,0.121,-0.0020,0.0010,-0.0070,0.000054
2026-04-08T16:29:19.858,218.237,-0.995,-0.003,0.128,0.0010,0.0010,0.0070,0.000051
2026-04-08T16:29:19.911,218.290,-0.994,-0.006,0.125,0.0010,-0.0030,-0.0030,0.000019
2026-04-08T16:29:19.964,218.344,-1.001,-0.007,0.125,-0.0070,-0.0010,0.0000,0.000050
2026-04-08T16:29:20.017,218.397,-0.991,-0.001,0.127,0.0100,0.0060,0.0020,0.000140
2026-04-08T16:29:20.071,218.450,-0.997,-0.003,0.128,-0.0060,-0.0020,0.0010,0.000041
2026-04-08T16:29:20.124,218.503,-0.998,-0.013,0.125,-0.0010,-0.0100,-0.0030,0.000110
2026-04-08T16:29:20.181,218.561,-1.000,-0.009,0.124,-0.0020,0.0040,-0.0010,0.000021
2026-04-08T16:29:20.230,218.610,-1.001,0.000,0.128,-0.0010,0.0090,0.0040,0.000098
2026-04-08T16:29:20.288,218.667,-0.994,-0.001,0.125,0.0070,-0.0010,-0.0030,0.000059
2026-04-08T16:29:20.341,218.720,-0.989,-0.004,0.119,0.0050,-0.0030,-0.0060,0.000070
2026-04-08T16:29:20.394,218.774,-0.995,-0.003,0.122,-0.0060,0.0010,0.0030,0.000046
2026-04-08T16:29:20.447,218.827,-0.998,-0.001,0.119,-0.0030,0.0020,-0.0030,0.000022
2026-04-08T16:29:20.501,218.880,-0.996,-0.008,0.123,0.0020,-0.0070,0.0040,0.000069
2026-04-08T16:29:20.554,218.933,-0.996,-0.005,0.125,0.0000,0.0030,0.0020,0.000013
2026-04-08T16:29:20.607,218.987,-0.993,-0.009,0.128,0.0030,-0.0040,0.0030,0.000034
2026-04-08T16:29:20.660,219.040,-0.996,-0.004,0.125,-0.0030,0.0050,-0.0030,0.000043
2026-04-08T16:29:20.714,219.093,-1.003,-0.009,0.122,-0.0070,-0.0050,-0.0030,0.000083
2026-04-08T16:29:20.767,219.146,-0.990,-0.010,0.131,0.0130,-0.0010,0.0090,0.000251
2026-04-08T16:29:20.820,219.200,-1.000,0.000,0.123,-0.0100,0.0100,-0.0080,0.000264
2026-04-08T16:29:20.874,219.253,-0.993,-0.003,0.121,0.0070,-0.0030,-0.0020,0.000062
2026-04-08T16:29:20.931,219.310,-0.999,-0.005,0.128,-0.0060,-0.0020,0.0070,0.000089
2026-04-08T16:29:20.984,219.363,-0.997,-0.014,0.123,0.0020,-0.0090,-0.0050,0.000110
2026-04-08T16:29:21.037,219.417,-1.003,-0.005,0.116,-0.0060,0.0090,-0.0070,0.000166
2026-04-08T16:29:21.090,219.470,-1.000,-0.003,0.118,0.0030,0.0020,0.0020,0.000017
2026-04-08T16:29:21.144,219.523,-0.994,-0.007,0.122,0.0060,-0.0040,0.0040,0.000068
2026-04-08T16:29:21.197,219.576,-0.994,-0.009,0.125,0.0000,-0.0020,0.0030,0.000013
2026-04-08T16:29:21.250,219.630,-0.996,-0.007,0.127,-0.0020,0.0020,0.0020,0.000012
2026-04-08T16:29:21.303,219.683,-1.004,-0.008,0.120,-0.0080,-0.0010,-0.0070,0.000114
2026-04-08T16:29:21.357,219.736,-0.995,-0.005,0.123,0.0090,0.0030,0.0030,0.000099
2026-04-08T16:29:21.410,219.789,-0.995,-0.006,0.124,0.0000,-0.0010,0.0010,0.000002
2026-04-08T16:29:21.463,219.843,-0.997,-0.004,0.118,-0.0020,0.0020,-0.0060,0.000044
2026-04-08T16:29:21.516,219.896,-1.000,-0.009,0.123,-0.0030,-0.0050,0.0050,0.000059
2026-04-08T16:29:21.570,219.949,-0.999,-0.006,0.125,0.0010,0.0030,0.0020,0.000014
2026-04-08T16:29:21.623,220.002,-0.997,-0.005,0.126,0.0020,0.0010,0.0010,0.000006
2026-04-08T16:29:21.676,220.056,-0.998,-0.003,0.126,-0.0010,0.0020,0.0000,0.000005
2026-04-08T16:29:21.733,220.113,-0.995,-0.003,0.120,0.0030,0.0000,-0.0060,0.000045
2026-04-08T16:29:21.787,220.166,-0.993,-0.005,0.120,0.0020,-0.0020,0.0000,0.000008
2026-04-08T16:29:21.840,220.219,-0.998,-0.008,0.117,-0.0050,-0.0030,-0.0030,0.000043
2026-04-08T16:29:21.893,220.273,-1.000,-0.003,0.123,-0.0020,0.0050,0.0060,0.000065
2026-04-08T16:29:21.946,220.326,-0.996,-0.008,0.124,0.0040,-0.0050,0.0010,0.000042
2026-04-08T16:29:22.000,220.379,-0.991,-0.010,0.129,0.0050,-0.0020,0.0050,0.000054
2026-04-08T16:29:22.053,220.432,-0.992,-0.004,0.119,-0.0010,0.0060,-0.0100,0.000137
2026-04-08T16:29:22.106,220.486,-1.001,-0.006,0.125,-0.0090,-0.0020,0.0060,0.000121
2026-04-08T16:29:22.159,220.539,-0.991,-0.003,0.122,0.0100,0.0030,-0.0030,0.000118
2026-04-08T16:29:22.213,220.592,-0.996,-0.013,0.121,-0.0050,-0.0100,-0.0010,0.000126
2026-04-08T16:29:22.266,220.645,-0.996,-0.008,0.127,0.0000,0.0050,0.0060,0.000061
2026-04-08T16:29:22.319,220.699,-1.002,-0.006,0.119,-0.0060,0.0020,-0.0080,0.000104
2026-04-08T16:29:22.372,220.752,-1.001,-0.009,0.124,0.0010,-0.0030,0.0050,0.000035
2026-04-08T16:29:22.426,220.805,-0.995,-0.004,0.120,0.0060,0.0050,-0.0040,0.000077
2026-04-08T16:29:22.483,220.863,-0.999,-0.003,0.122,-0.0040,0.0010,0.0020,0.000021
2026-04-08T16:29:22.536,220.916,-1.005,-0.002,0.123,-0.0060,0.0010,0.0010,0.000038
2026-04-08T16:29:22.589,220.969,-0.997,-0.006,0.124,0.0080,-0.0040,0.0010,0.000081
2026-04-08T16:29:22.643,221.022,-0.995,-0.007,0.123,0.0020,-0.0010,-0.0010,0.000006
